claudio_name,weight,price_claudio,price_sugerido_+10,maully_match_name,maully_web_price,diff_pct_vs_sug
adidas nike,25KG,555000,610500,Polera Marca Hombre M/co Adidas Nike 1ra+/p,513700,-15.9
CAMISA MARCA OFERTA,25KG,365000,401500,Parka/chaq Marca Oferta 25KG,363000,-9.6
champion fila reebook puma,25KG,485000,533500,Mixto Marcas Premium Fila Champion Puma Ree,399300,-25.2
CHAQ JEANS,45KG,280000,308000,Jeans Hombre Plus Size 1RA 45 Kg,203500,-33.9
deportivo inv marca xl,25KG,490000,539000,Mixto Marca Deportivo Oferta 25 Kg,209000,-61.2
jeans marca retorno mujer 50 u,25KG,585000,643500,Jeans Mujer Marca PREM Retorno 24 U,257400,-60.0
JORDAN,25KG,815000,896500,,0,0
mix columbia inv oferta,25KG,485000,533500,Columbia MIX Oferta 25KG,399300,-25.2
MIXTO FRIO ECO,45KG,290000,319000,Cortaviento Y Poleron Deportivo Mixto 45 Kg,209000,-34.5
OUTDOR MARCA,25KG,625000,687500,Chaqueta Marca Superdry 1ra+ 25 Kg,286000,-58.4
pantalon buzo marca ci,25KG,480000,528000,Pantalón Raquelado Marca 25KG,662200,25.4
pantalon buzo marca PREM,25KG,485000,533500,Polera Marca Niño 1ra+/prem 25 Kg,308000,-42.3
pantalon raquelado marca,25KG,715000,786500,Pantalón Raquelado Marca 25KG,662200,-15.8
parka chaq marca oferta,25KG,485000,533500,Parka/chaq Marca Oferta 25KG,363000,-32.0
polar marca ci,25KG,430000,473000,Polar Marca 1RA 25 Kg,336600,-28.8
polera dibujos animados,25KG,370000,407000,Polera Hombre Dibujos Animados 1ra+/prem 25,275000,-32.4
poleron deportivo prem,25KG,375000,412500,Poleron Deportivo Premium 25KG,253000,-38.7
POLERON MARCA CI,25KG,480000,528000,Poleron Sin Gorro Marca Oferta 25 Kg,203500,-61.5
POLERON MARCA POLAR prem,25KG,490000,539000,Poleron Polar / Parka/ Chaq Marca Columbia ,656700,21.8
poleron polar,45KG,230000,253000,Poleron Sin Gorro 45KG,88000,-65.2
poleron sin gorro,45KG,230000,253000,Poleron Sin Gorro 45KG,88000,-65.2
realtree 1,25KG,420000,462000,,0,0
realtree 1 prem,25KG,435000,478500,Polera Hombre Dibujos Animados 1ra+/prem 25,275000,-42.5
REMERA ADIDAS NIKE / OTRAS,25KG,615000,676500,Polera Marca Hombre M/co Adidas Nike 1ra+/p,513700,-24.1
REMERA HOMBRE MULTIMARCA 1RA,25KG,625000,687500,Abrigo Hombre 3/4 Y Largo 1ra+ 25 Kg,137500,-80.0
REMERA MARCA algodón y vestir oferta,25KG,330000,363000,Parka/chaq Marca Oferta 25KG,363000,0.0
REMERA MARCA deportiva 1ra,25KG,545000,599500,Polera Marca Deportiva Hombre 1RA 25 Kg,468600,-21.8
REMERA MARCA ml hombre 1RA,25KG,430000,473000,Polera Marca Hombre M/la 1ra+/prem 25KG,336600,-28.8
REMERA MARCA ml hombre oferta,25KG,330000,363000,Polera Marca Hombre M/co Oferta 25KG,214500,-40.9
sweter hombre marca,25KG,450000,495000,Polera Marca Hombre M/co Oferta 25KG,214500,-56.7
sweter printed hombre,45KG,385000,423500,Jeans Hombre Plus Size 1RA 45 Kg,203500,-51.9
under armour,25KG,535000,588500,Mixto Marca Premium Under Armour 25 Kg,451000,-23.4
POLERON CON GORRO MARCA ANT,25KG,495000,544500,Poleron Sin Gorro Marca Oferta 25 Kg,203500,-62.6
POLERON CON GORRO MARCA NEW,25KG,495000,544500,Poleron Sin Gorro Marca Oferta 25 Kg,203500,-62.6
